file_id,noise_type,snr_db_condition,config,snr_before_db,snr_after_db,snr_improvement_db,stoi,pesq,transcript_delta
holdout_00_7976-110124-0013,bursty,15,dsp_ml,7.77,-9.64,-17.41,0.8608,,
holdout_00_7976-110124-0013,bursty,15,agent,7.77,-9.45,-17.22,0.8701,,
holdout_01_8842-302196-0003,white,-5,dsp_only,-84.4,-58.68,25.72,0.5896,,
holdout_01_8842-302196-0003,white,-5,dsp_ml,-84.4,-58.8,25.61,0.5894,,
holdout_01_8842-302196-0003,white,-5,agent,-84.4,-58.81,25.59,0.5848,,
holdout_01_8842-302196-0003,white,0,dsp_only,-82.41,-58.68,23.73,0.7126,,
holdout_01_8842-302196-0003,white,0,dsp_ml,-82.41,-58.8,23.62,0.7109,,
holdout_01_8842-302196-0003,white,0,agent,-82.41,-58.63,23.78,0.7081,,
holdout_01_8842-302196-0003,white,5,dsp_only,1.08,-16.35,-17.42,0.7995,,
holdout_01_8842-302196-0003,white,5,dsp_ml,1.08,-17.14,-18.22,0.7955,,
holdout_01_8842-302196-0003,white,5,agent,5.16,-20.46,-25.62,0.7912,,
holdout_01_8842-302196-0003,white,10,dsp_only,1.04,-13.11,-14.15,0.8348,,
holdout_01_8842-302196-0003,white,10,dsp_ml,1.04,-13.59,-14.63,0.8289,,
holdout_01_8842-302196-0003,white,10,agent,4.56,-16.58,-21.14,0.8281,,
holdout_01_8842-302196-0003,white,15,dsp_only,2.16,-6.91,-9.08,0.8488,,
holdout_01_8842-302196-0003,white,15,dsp_ml,2.16,-7.15,-9.32,0.8423,,
holdout_01_8842-302196-0003,white,15,agent,2.16,-8.35,-10.51,0.8374,,
holdout_01_8842-302196-0003,brown_hum,-5,dsp_only,4.92,5.29,0.37,0.884,,
holdout_01_8842-302196-0003,brown_hum,-5,dsp_ml,4.92,4.14,-0.78,0.8762,,
holdout_01_8842-302196-0003,brown_hum,-5,agent,4.92,1.76,-3.15,0.8689,,
holdout_01_8842-302196-0003,brown_hum,0,dsp_only,6.41,4.8,-1.61,0.8969,,
holdout_01_8842-302196-0003,brown_hum,0,dsp_ml,6.41,3.97,-2.44,0.8875,,
holdout_01_8842-302196-0003,brown_hum,0,agent,6.41,2.24,-4.17,0.8814,,
holdout_01_8842-302196-0003,brown_hum,5,dsp_only,8.44,9.56,1.12,0.9013,,
holdout_01_8842-302196-0003,brown_hum,5,dsp_ml,8.44,9.22,0.78,0.8911,,
holdout_01_8842-302196-0003,brown_hum,5,agent,8.44,10.57,2.13,0.8853,,
holdout_01_8842-302196-0003,brown_hum,10,dsp_only,10.66,11.76,1.1,0.9029,,
holdout_01_8842-302196-0003,brown_hum,10,dsp_ml,10.66,11.47,0.8,0.8928,,
holdout_01_8842-302196-0003,brown_hum,10,agent,10.66,11.35,0.68,0.887,,
holdout_01_8842-302196-0003,brown_hum,15,dsp_only,11.94,11.82,-0.12,0.9035,,
